;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
10/1/2025;0;1,057;0,352;0,3;0,741;;
10/1/2025;0;1,006;0,141;0,181;0,697;;
10/1/2025;0;0,823;0,041;0,14;0,774;;
10/1/2025;0;0,92;0,01;0,115;0,675;;
10/1/2025;0;0,736;0,018;0,109;0,679;;
10/1/2025;0;0,848;0,07;0,065;0,648;;
10/1/2025;0;0,882;0,079;0,089;0,682;;
10/1/2025;0;0,902;0,181;0,082;0,711;;
10/1/2025;0;0,92;0,302;0,149;0,869;;
10/1/2025;0;0,917;0,434;0,146;0,709;;
10/1/2025;0;0,967;0,41;0,122;0,612;;
10/1/2025;0;1,168;0,547;0,175;0,591;;
10/1/2025;0;1,18;0,461;0,229;0,592;;
10/1/2025;0;0,958;0,41;0,169;0,644;;
11/1/2025;0;0,996;0,28;0,157;0,613;;
11/1/2025;0;0,957;0;0,161;0;;
11/1/2025;0;0,89;0,075;0,102;0,787;;
11/1/2025;0;0,802;0,069;0,066;0,75;;
11/1/2025;0;0,705;0,077;0,067;0,813;;
11/1/2025;0;0,95;0,27;0,068;0,777;;
11/1/2025;0;1,032;0,764;0,198;0,71;;
11/1/2025;0;1,359;1,307;0,442;1,252;;
11/1/2025;0;1,732;0,919;0,572;1,353;;
11/1/2025;0;1,362;0,665;0,61;1,417;;
11/1/2025;0;1,253;0,845;0,479;0,973;;
11/1/2025;0;1,285;0,29;0,356;0,756;;
11/1/2025;0;1,064;0,115;0,271;0,852;;
11/1/2025;0;0,907;0,089;0,181;0,761;;
11/1/2025;0;0,8;0,064;0,111;0,69;;
11/1/2025;0;0,838;0,02;0,097;0,698;;
11/1/2025;0;0,829;0,049;0,112;0,594;;
11/1/2025;0;0,829;0,062;0,061;0,583;;
11/1/2025;0;0,971;0,083;0,076;0,631;;
11/1/2025;0;1,035;0,243;0,103;0,733;;
11/1/2025;0;1,151;0,483;0,121;0,72;;
11/1/2025;0;0,929;0,443;0,121;0,543;;
11/1/2025;0;0,927;1,071;0,133;0,563;;
11/1/2025;0;0,976;0,644;0,164;0,603;;
12/1/2025;0;0,845;0,509;0,161;0,628;;
12/1/2025;0;0,87;0,318;0;0,576;;
12/1/2025;0;0,79;0,363;0,107;0,63;;
12/1/2025;0;0,768;0,412;0,081;0,676;;
12/1/2025;0;0,783;0,298;0,056;0,714;;
12/1/2025;0;0,866;0,235;0,095;0,775;;
12/1/2025;0;1,13;0,705;0,137;0,908;;
12/1/2025;0;1,524;0,934;0,254;1,125;;
12/1/2025;0;1,118;0,402;0,279;0,909;;
12/1/2025;0;0,801;0,237;0,248;0,756;;
12/1/2025;0;0,703;0,131;0,084;0,848;;
12/1/2025;0;0,664;0,111;0,046;0,619;;
12/1/2025;0;0,701;0,094;0,083;0,57;;
12/1/2025;0;0,714;0,101;0,127;0,623;;
12/1/2025;0;0,686;0,05;0,1;0,605;;
12/1/2025;0;0,712;0,004;0,075;0,669;;
12/1/2025;0;0,786;0,025;0,089;0,667;;
